"BehaviorSpace results (NetLogo 6.0.4)"
"as4.nlogo"
"experiment"
"01/06/2019 22:49:18:086 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-30","30","-30","30"
"[run number]","antenna-range","alpha","sensing-range","start_msg_tick","total-nodes","flooding","[step]","msg_reached_goal","number_of_msg_send","number_of_received"
"234","7","1.15","0.6","15","150","true","22","1","90","111"
"231","7","1.15","0.6","15","150","true","21","1","69","94"
"230","7","1.15","0.6","15","150","true","22","1","103","126"
"235","7","1.15","0.6","15","150","true","22","1","79","91"
"236","7","1.15","0.6","15","150","true","18","1","38","45"
"233","7","1.15","0.6","15","150","true","23","1","141","148"
"237","7","1.15","0.6","15","150","true","22","1","93","113"
"240","7","1.15","0.6","15","150","true","16","1","10","17"
"242","7","1.15","0.6","15","150","true","20","1","23","34"
"239","7","1.15","0.6","15","150","true","21","1","36","54"
"238","7","1.15","0.6","15","150","true","16","1","7","15"
"241","7","1.15","0.6","15","150","true","22","1","105","132"
"245","7","1.15","0.6","15","150","true","17","1","22","35"
"243","7","1.15","0.6","15","150","true","17","1","22","43"
"246","7","1.15","0.6","15","150","true","21","1","115","129"
"247","7","1.15","0.6","15","150","true","18","1","28","49"
"248","7","1.15","0.6","15","150","true","15","1","1","7"
"252","7","1.15","0.6","15","150","true","21","1","92","122"
"251","7","1.15","0.6","15","150","true","20","1","57","79"
"250","7","1.15","0.6","15","150","true","19","1","41","47"
"249","7","1.15","0.6","15","150","true","20","1","70","90"
"254","7","1.15","0.6","15","150","true","16","1","5","13"
"253","7","1.15","0.6","15","150","true","26","1","114","133"
"259","7","1.15","0.6","15","150","true","19","1","47","60"
"257","7","1.15","0.6","15","150","true","25","1","116","127"
"256","7","1.15","0.6","15","150","true","17","1","11","19"
"260","7","1.15","0.6","15","150","true","22","1","102","126"
"244","7","1.15","0.6","15","150","true","24","1","122","137"
"255","7","1.15","0.6","15","150","true","17","1","17","26"
"258","7","1.15","0.6","15","150","true","22","1","92","111"
"261","7","1.15","0.6","15","150","true","25","1","149","149"
"264","7","1.15","0.6","15","150","true","18","1","27","37"
"265","7","1.15","0.6","15","150","true","15","1","1","9"
"263","7","1.15","0.6","15","150","true","24","1","142","148"
"268","7","1.15","0.6","15","150","true","18","1","32","54"
"262","7","1.15","0.6","15","150","true","19","1","36","56"
"267","7","1.15","0.6","15","150","true","19","1","32","48"
"269","7","1.15","0.6","15","150","true","18","1","33","46"
"266","7","1.15","0.6","15","150","true","18","1","26","37"
"270","7","1.15","0.6","15","150","true","17","1","18","30"
"274","7","1.15","0.6","15","150","true","18","1","32","50"
"271","7","1.15","0.6","15","150","true","22","1","86","97"
"272","7","1.15","0.6","15","150","true","19","1","39","57"
"275","7","1.15","0.6","15","150","true","18","1","32","41"
"273","7","1.15","0.6","15","150","true","22","1","85","98"
"276","7","1.15","0.6","15","150","true","27","1","129","140"
"281","7","1.15","0.6","15","150","true","20","1","69","89"
"278","7","1.15","0.6","15","150","true","20","1","74","108"
"280","7","1.15","0.6","15","150","true","26","1","137","137"
"283","7","1.15","0.6","15","150","true","18","1","37","47"
"284","7","1.15","0.6","15","150","true","15","1","1","7"
"279","7","1.15","0.6","15","150","true","22","1","107","126"
"282","7","1.15","0.6","15","150","true","21","1","89","117"
"277","7","1.15","0.6","15","150","true","22","1","84","113"
"285","7","1.15","0.6","15","150","true","20","1","60","85"
"286","7","1.15","0.6","15","150","true","22","1","117","139"
"290","7","1.15","0.6","15","150","true","15","1","1","8"
"287","7","1.15","0.6","15","150","true","26","1","142","149"
"291","7","1.15","0.6","15","150","true","15","1","1","5"
"289","7","1.15","0.6","15","150","true","23","1","118","135"
"288","7","1.15","0.6","15","150","true","19","1","54","75"
"292","7","1.15","0.6","15","150","true","23","1","116","128"
"293","7","1.15","0.6","15","150","true","18","1","36","54"
"296","7","1.15","0.6","15","150","true","16","1","3","4"
"294","7","1.15","0.6","15","150","true","18","1","21","45"
"295","7","1.15","0.6","15","150","true","25","1","133","144"
"297","7","1.15","0.6","15","150","true","20","1","74","92"
"299","7","1.15","0.6","15","150","true","22","1","109","121"
"301","7","1.15","0.9","15","150","true","23","1","118","144"
"300","7","1.15","0.6","15","150","true","20","1","58","80"
"302","7","1.15","0.9","15","150","true","21","1","63","86"
"298","7","1.15","0.6","15","150","true","21","1","86","106"
"303","7","1.15","0.9","15","150","true","24","1","117","143"
"306","7","1.15","0.9","15","150","true","21","1","98","127"
"304","7","1.15","0.9","15","150","true","23","1","109","134"
"305","7","1.15","0.9","15","150","true","26","1","112","139"
"309","7","1.15","0.9","15","150","true","17","1","16","34"
"310","7","1.15","0.9","15","150","true","21","1","94","111"
"307","7","1.15","0.9","15","150","true","20","1","57","80"
"311","7","1.15","0.9","15","150","true","22","1","99","118"
"312","7","1.15","0.9","15","150","true","22","1","37","63"
"308","7","1.15","0.9","15","150","true","17","1","14","24"
"314","7","1.15","0.9","15","150","true","24","1","122","138"
"315","7","1.15","0.9","15","150","true","19","1","41","62"
"313","7","1.15","0.9","15","150","true","22","1","89","113"
"316","7","1.15","0.9","15","150","true","19","1","33","54"
